AssociationID,ForeignKeyHeaderID,PrimaryKeyHeaderID,RowGUID
1,18729,16820,"{D0928A0A-B201-214D-9019A68ED4E29642}"
2,18916,16820,"{69B615D4-ED0F-1B43-BCEF18BD4A4D7236}"
3,16833,16820,"{B6127FBF-630C-5E4F-819B8461B63AE3F2}"
4,18919,16820,"{35839363-807D-3D40-8EBB3296F2586815}"
5,18938,16820,"{206A7C1E-4667-234B-949AB2C34AC99EB5}"
7,18728,18829,"{FF7739B9-8284-F54C-9203EC0FED5A70B8}"
8,18915,18829,"{65F123F7-2F8E-7E44-880BB2CF292907D2}"
9,18918,18829,"{F4FB15AE-D7FB-4B45-97CDCFD119ABD548}"
11,18931,18829,"{891714BC-5D3C-EB45-93CBB2274D962E17}"
12,18925,18829,"{30F2A11C-5C60-154C-93432AFA32E6FC73}"
13,18913,18829,"{9625436A-EF36-F641-98CAFD1B03DCE833}"
14,18724,18829,"{D1CECA0A-6F4F-3D44-B04F0B1509BFF344}"
16,18914,18819,"{19D59C99-1683-FE46-890148C848803F31}"
17,18927,18819,"{46640B3B-7B29-564B-86422A668DD4D7F9}"
18,18932,18819,"{78CF9E21-5F81-B847-ADEEF1F68B8B2812}"
22,18726,18829,"{87F277F8-9CC9-D148-8D918DC793003FDC}"
23,18831,18829,"{B88A0271-4D75-FC42-92F70DF3FADA9D9D}"
24,18827,18819,"{8E6ECF04-6AF2-AD4D-8AAABABDB9F2AF3F}"
25,16825,16820,"{BE14467F-DA5C-B443-B19AF78FD6710F91}"
26,21212,18819,"{4EC5D841-8A99-154E-8082EAA6183F23E8}"
27,18891,18938,"{2C156BFD-8D92-364C-95036EA1548D44AE}"
27,18894,19181,"{0F9D2CA1-CC91-CF43-98E824FCA01A2242}"
28,18890,18913,"{A863FB10-9AC5-F449-BD25578A5510D19B}"
28,18892,18914,"{9694D329-D02F-8145-A1F3C57651B9FED7}"
29,18729,16820,"{71013F79-58BB-D24E-89115BF823D8DDF7}"
30,18916,16820,"{D28D79D2-928E-A641-975D18600E861C15}"
31,16833,16820,"{71FA2AF6-E909-124B-9EEB3F3893633E61}"
32,18919,16820,"{3CCBE206-17EA-0C44-A826D7074509C710}"
33,18938,16820,"{7C04ECA0-B968-CB41-900514C976E8C9C6}"
34,16825,16820,"{23199AFC-C48B-844B-B2F844D3EC980F1C}"
35,18914,18819,"{44DAEF9B-A59F-7348-B12CFE0735A0D04F}"
36,18927,18819,"{D22F413B-89BD-E248-ACBDA2B6637AE4A5}"
37,18932,18819,"{DFF03473-96B9-0E49-93BE684B098A592C}"
38,18827,18819,"{D2120D8B-50AA-6740-951E776DCB64FC9B}"
39,21212,18819,"{D9DEBFA5-4CD3-2A44-932B8FB810346B31}"
40,18728,18829,"{999A74F6-4550-0D46-BF6930C0E3BF1B41}"
41,18915,18829,"{CD302E13-5FC6-6742-AA35D09168DAFC51}"
42,18918,18829,"{E60B877B-BD85-2248-A3D896B45CAB45FF}"
43,18931,18829,"{DF56212F-8326-5C43-A9CF9EB7AE5B6A28}"
44,18925,18829,"{30749471-2EF3-524B-807411FC3DEEEA8E}"
45,18913,18829,"{D4AFC73B-EC68-2A44-8137D2771948AE0A}"
46,18724,18829,"{06D7CFA8-8DD6-8F44-A6CD6415F1A6CDD1}"
47,18726,18829,"{293FC533-9FAF-B14B-8FFD5CF533205EC3}"
48,18831,18829,"{4E33A4B2-CC75-3745-835FCAF3055ACBCB}"
