FrameworkID,RowGUID,isDocumentModule,OwnerID,ModuleID
2,"{E5C07CDA-4BBB-4401-8FAC4B7347892B8E}",0,1012,3
2,"{EAD8F510-59EF-420E-82F7DD4E6790142C}",0,1012,4
3,"{0DBB623E-DA9B-488D-A124AD6F1B34E73B}",0,1012,6
4,"{74131076-EB10-4EA4-BA503FD47BB8DE8F}",0,1012,7
5,"{69D5C15B-6746-41F9-97DEEED24F00C7CA}",0,1012,9
2,"{CADFC7DE-9F22-41B4-BD82F8DC7B341D3C}",0,1012,10
2,"{DE28E3FE-7CB3-4CBC-9DD8B427D9193224}",0,1012,11
1,"{CDC0DF1D-4F84-4AB4-8B6A234F8232CDFC}",0,1012,12
2,"{BE76C8C3-C986-4910-815F28CCF76CC2D1}",0,1012,13
2,"{0F62D7B4-C0CB-4E92-88108C1732D1325E}",0,1012,14
7,"{9354C8AA-F10B-4D24-A402BF87D74B073D}",0,1012,15
6,"{44A6EE92-7D81-4B75-A884E7F4D686CB75}",0,1012,16
5,"{6DCBCD27-4905-4572-BD0D8F5E022646B7}",0,1012,17
5,"{D0BD2574-EE79-400E-9E3938E13A1CAEBB}",0,1012,18
8,"{71721BAA-FB9F-4CB6-921428E4AEFF88C7}",0,1012,19
6,"{561EDCA2-7314-404D-8CB8F04AB57AA1D1}",0,1012,20
9,"{3126B89C-8ECA-469C-991F73C655E94FCA}",0,1012,21
2,"{11AA0E0A-89DE-4C59-847BF451C62DDB3C}",0,1012,23
11,"{A573DCB8-8133-447E-A40F9481846FB41A}",0,1012,24
12,"{781E1998-2DB7-4A57-98612EABEE28642C}",0,1012,25
12,"{2356C744-CEB3-4A85-BF666A45B976EDF4}",0,1012,26
13,"{8DC86707-D957-4968-AAD085286DA858EE}",0,1012,27
10,"{57E646A3-8124-405E-9BF8C894867BBBC1}",0,1012,28
10,"{F7E3128E-70F0-4F9B-BD5C7A0F603B84E0}",0,1012,29
10,"{41AA0CE9-14C0-41BC-8E2274F01934E406}",0,1012,30
10,"{AE88E4C1-A40F-4479-BF2161A18D133BC9}",0,1012,31
5,"{E931FD13-4C74-437A-96D4C53A6170D9CC}",0,1012,32
6,"{C4BFBD19-F1A8-4636-977184D2F721FA51}",0,1012,33
6,"{D24A11BC-E823-484A-9422DE0535B8EF5E}",0,1012,34
6,"{D8DD4E4E-9BE9-48F2-AC6EA7F034AE33CF}",0,1012,35
14,"{59C13DD1-9D47-4C41-BD98DC0BF63A6CD6}",0,1012,36
15,"{32B04786-A79F-4C39-9935F87519ACD6C9}",0,1012,37
16,"{485564DF-6BE9-4832-ACC1DD320C5E66F2}",0,1012,38
16,"{385460AA-F1D0-470B-81CFFBD08BE6B15A}",0,1012,39
16,"{D5B1D488-F0BC-4921-8354C64C1618FF89}",0,1012,40
16,"{C75B8503-069B-4D10-BC7F01FB8AD72EB5}",0,1012,41
17,"{91A0EEAE-EE30-422F-A1F16BA8B5612ABA}",0,1012,42
19,"{599F3CB1-4262-8047-9E95ACEB96FA1AC6}",0,1012,44
20,"{865C91D7-0DFF-4006-B6E9540C4B80A4F6}",0,1012,46
6,"{51B942BD-AD74-4F8A-A2529CA5D5AE085E}",0,1012,47
21,"{9F3F0979-16B6-5B42-BEA33FEFCB3A7CD8}",0,1012,48
16,,-1,1012,49
16,,-1,1012,50
16,,-1,1012,51
16,"{03178761-ECE1-CB43-943C9848E5F2D580}",0,1012,55
16,"{97EA219C-AFA8-D645-8CB638035300E220}",0,1012,56
16,"{42C75748-2F65-2E43-BD3C46C276225C3E}",0,1012,57
21,"{5152EFCE-A0A0-D143-AD53A8A74D8FB28C}",0,1012,58
8,"{3FDAACE1-7587-6047-A145CF6B3BE37EA0}",0,1012,59
16,"{66C58CE5-E1B6-294C-ADF460323183B06B}",0,1012,60
7,"{A7F9C096-5448-264C-9B0633D5ADCBEC3B}",0,1012,62
1,"{A686812B-A277-9749-804BDC43B3ABBBE2}",0,1012,63
6,"{CF35E2A2-D79E-2346-83A67EE5CF470683}",0,1012,65
6,"{58A0DD65-3C3B-0F49-83B2E1E41174912D}",0,1012,67
6,"{82E224F9-4EC7-5F4A-9215AD93B2B622F2}",0,1012,68
